German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
dahin,ডাহিন,সেখানে,there/to that place,,Wir fahren dahin.
die Pflanze -n,ডি ফ্লানৎসে,গাছ/উদ্ভিদ,plant,,Die Pflanze braucht Wasser.
dorthin,ডর্টহিন,সেদিকে,to there,,Gehen Sie bitte dorthin.
die Vorsicht (Sg.),ডি ফোরজিশট,সাবধানতা,caution/care,,Vorsicht! Der Boden ist nass.
herunterfallen (ist gefallen),হেরুন্টারফালেন,পড়ে যাওয়া,to fall down,heruntergefallen,Das Glas ist heruntergefallen.
rein,রাইন,ভেতরে,in/inside,,Kommen Sie rein!
der Müll (Sg.),ডার মুল,আবর্জনা,trash/garbage,,Bitte bringen Sie den Müll raus.
raus,রাউস,বাইরে,out/outside,,Gehen Sie bitte raus.
reinkommen (ist reingekommen),রাইনকমেন,ভেতরে আসা,to come in,reingekommen,Darf ich reinkommen?
die Mitteilung -en,ডি মিটাইলুং,বিজ্ঞপ্তি/বার্তা,notice/message,,Ich habe eine Mitteilung für Sie.
der Bewohner - / die Bewohnerin -nen,ডার বেভোনার / ডি বেভোনারিন,বাসিন্দা,resident/inhabitant,,Die Bewohner sind sehr freundlich.
trennen (hat getrennt),ট্রেনেন,আলাদা করা,to separate,getrennt,Bitte trennen Sie den Müll.
Bio-,বিও,জৈব/অর্গানিক,organic/bio-,,Ich kaufe Bio-Gemüse.
der Abfall =e,ডার আবফাল,আবর্জনা/বর্জ্য,waste/rubbish,,Werfen Sie den Abfall in die Tonne.
das Plastik (Sg.),ডাস প্লাস্টিক,প্লাস্টিক,plastic,,Plastik ist schlecht für die Umwelt.
beachten (hat beachtet),বেআখটেন,মনোযোগ দেওয়া/মেনে চলা,to observe/pay attention to,beachtet,Bitte beachten Sie die Regeln.
die Müllabfuhr -en,ডি মুলআবফুর,আবর্জনা সংগ্রহ সেবা,garbage collection,,Die Müllabfuhr kommt am Montag.
die Mülltonne -n,ডি মুলটনে,আবর্জনার পাত্র,garbage bin,,Stellen Sie die Mülltonne nach draußen.
abstellen (hat abgestellt),আবশটেলেন,রেখে দেওয়া/বন্ধ করা,to put down/turn off,abgestellt,Stellen Sie das Fahrrad hier ab.
