German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
vorhin,ফোর্হিন,আগে আরেকটু,earlier/a moment ago,,Das habe ich vorhin gesagt.
mittlere,মিটলেরে,মাঝারি,middle/average,,Er hat mittlere Noten.
die Aktivität -en,ডি আকটিভিটেট,কার্যকলাপ,activity,,Freizeitaktivitäten sind wichtig.
das System -e,ডাস জিস্টেম,ব্যবস্থা,system,,Das Schulsystem ist anders.
die (Fach-)Hochschule -n,ডি হোখশুলে,বিশ্ববিদ্যালয় (প্রযুক্তি),university of applied sciences,,Sie studiert an einer Hochschule.
die Universität -en,ডি উনিভেরজিটেট,বিশ্ববিদ্যালয়,university,,Die Universität ist groß.
die Gesamtschule -n,ডি গেজামশুলে,সমন্বিত বিদ্যালয়,comprehensive school,,Viele Städte haben eine Gesamtschule.
die Realschule -n,ডি রেআলশুলে,রিয়ালস্কুলে,secondary school (Realschule),,Er besucht die Realschule.
die Hauptschule -n / die Mittelschule -n,ডি হাউপটশুলে,প্রাথমিক মাধ্যমিক,Hauptschule/Mittelschule,,Die Hauptschule ist in der Nähe.
die Berufsschule -n,ডি বেরুফশুলে,বৃত্তিমূলক বিদ্যালয়,vocational school,,Er geht zur Berufsschule.
freiwillig,ফ্রাইভিলিখ,স্বেচ্ছায়,voluntary,,Das ist freiwillig.
die Krippe -n,ডি ক্রিপ্পে,ডে-কেয়ার (শিশু),nursery/crèche,,Das Kind ist in der Krippe.
die Physik (Sg.),ডি ফিজিক,পদার্থবিজ্ঞান,physics,,Physik finde ich schwer.
die Sozialkunde (Sg.),ডি ৎসোৎসিয়ালকুন্ডে,সমাজবিদ্যা,social studies,,Sozialkunde ist interessant.
die Biologie (Sg.),ডি বিওলোগি,জীববিজ্ঞান,biology,,Biologie mag ich gern.
die Chemie (Sg.),ডি কেমি,রসায়ন,chemistry,,Chemie ist spannend.
die Geografie (Sg.),ডি গেওগ্রাফি,ভূগোল,geography,,Geografie steht auf dem Plan.
die Kunst (Sg.),ডি কুনস্ট,শিল্পকলা,art,,Kunst ist mein Lieblingsfach.
die Geschichte (Sg.),ডি গেশিখটে,ইতিহাস,history,,Geschichte schreiben wir morgen.
hassen (hat gehasst),হাসেন,ঘৃণা করা,to hate,hat gehasst,Ich hasse Lügen.
das Frühjahr (Sg.),ডাস ফ্র্যুয়য়ার,বসন্ত (মৌসুম),spring (season),,Im Frühjahr blühen die Blumen.
