German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
bestehen (hat bestanden),বেশটেইন,উত্তীর্ণ হওয়া/টিকে থাকা,to pass (exam)/consist of,hat bestanden,Sie hat die Prüfung bestanden.
der Migrationshintergrund (Sg.),ডার মিগ্রাৎসিওন্সহিন্টারগ্রুন্ড,অভিবাসন পটভূমি,migration background,,Er hat einen Migrationshintergrund.
stolz,শ্টোলৎস,গর্বিত,proud,,Ich bin stolz auf dich.
elektrisch,এলেক্ট্রিশ,বৈদ্যুতিক,electric,,Das Auto ist elektrisch.
die Technik (Sg.),ডি টেখনিক,প্রযুক্তি,technology/technique,,Die Technik funktioniert gut.
der Kontakt -e,ডার কন্টাক্ট,যোগাযোগ,contact,,Behalten Sie Kontakt!
anerkennen (hat anerkannt),আনারকেনেন,স্বীকার করা,to recognize/acknowledge,hat anerkannt,Man erkennt seine Fehler an.
prüfen (hat geprüft),প্র্যুফেন,পরীক্ষা করা,to check/test,hat geprüft,Der Arzt prüft die Wunde.
kompliziert,কমপ্লিৎসির্ট,জটিল,complicated,,Das ist zu kompliziert.
der Bäcker - / die Bäckerin -nen,ডার বেকার,বেকারি মালিক/নারী,baker,,Der Bäcker backt frisches Brot.
der Schauspieler - / die Schauspielerin -nen,ডার শাউশ্পিলার,অভিনেতা/অভিনেত্রী,actor/actress,,Sie ist eine gute Schauspielerin.
