German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
das Leben -,ডাস লেবেন,জীবন,life,,Das Leben ist schön.
der Rentner - / die Rentnerin -nen,ডার রেন্টনার / ডি রেন্টনারিন,পেনশনভোগী/অবসরপ্রাপ্ত,retiree/pensioner,,Der Rentner geht gern spazieren.
die Veranstaltung -en,ডি ফেরানশটাল্টুং,অনুষ্ঠান/ইভেন্ট,event,,Die Veranstaltung war sehr gut besucht.
wenden (hat gewandt),ভেন্ডেন,ফেরানো/যোগাযোগ করা,to turn/contact,gewandt,Wenden Sie sich an den Betriebsrat.
stattfinden (hat stattgefunden),শটাটফিন্ডেন,অনুষ্ঠিত হওয়া,to take place,stattgefunden,Die Besprechung findet morgen statt.
der Betriebsrat =e,ডার বেট্রিবসরাট,কর্মী পরিষদ,works council,,Der Betriebsrat hilft den Arbeitnehmern.
berichten (hat berichtet),বেরিশটেন,জানানো/রিপোর্ট করা,to report,berichtet,Er berichtet über das Projekt.
beraten (du berätst / er berät / hat beraten),বেরাটেন,পরামর্শ দেওয়া,to advise/counsel,beraten,Der Anwalt berät seine Kunden.
der Tarif -e,ডার টারিফ,শুল্ক/হার,tariff/rate,,Der Tarif ist günstig.
das Recht -e,ডাস রেশট,অধিকার/আইন,right/law,,Jeder hat das Recht auf Bildung.
die Kündigung -en,ডি কুন্ডিগুং,চাকরিচ্যুতি/বরখাস্ত,termination/dismissal,,Er hat eine Kündigung bekommen.
die Entlassung -en,ডি এন্টলাসুং,বরখাস্ত/ছাঁটাই,dismissal/layoff,,Die Entlassung war unerwartet.
die Vorschrift -en,ডি ফোরশ্রিফট,নিয়ম/বিধান,regulation/rule,,Bitte beachten Sie die Vorschriften.
ohne,ওনে,ছাড়া/বিনা,without,,Ohne dich geht es nicht.
entlassen (du entlässt / er entlässt / hat entlassen),এন্টলাসেন,বরখাস্ত করা/ছাঁটাই করা,to dismiss/fire,entlassen,Die Firma hat viele Mitarbeiter entlassen.
schützen (hat geschützt),শুৎসেন,রক্ষা করা/সুরক্ষিত করা,to protect,geschützt,Wir müssen die Umwelt schützen.
(sich) bedanken (hat bedankt),বেডাঙ্কেন,ধন্যবাদ জানানো,to thank,bedankt,Ich möchte mich bei Ihnen bedanken.
