German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,Partizip II,German sentence
die Gruppe -n,ডি গ্রুপ্পে,দল,group,,Wir arbeiten in einer Gruppe.
die Ermäßigung -en,ডি এর্মেসিগুং,ছাড়,discount,,Gibt es eine Ermäßigung?
kostenlos,কোস্টেনলোস,বিনামূল্যে,free of charge,,Der Eintritt ist kostenlos.
der Azubi -s,ডার আৎসুবি,শিক্ষানবিশ,apprentice,,Der Azubi lernt viel.
zusätzlich,ৎসুৎসৎসলিখ,অতিরিক্ত,additionally,,Zusätzlich brauchen wir Zeit.
aktiv,আকটিফ,সক্রিয়,active,,Bleib aktiv und gesund!
joggen (ist gejoggt),জগেন,জগিং করা,to jog,ist gejoggt,Ich jogge jeden Morgen.
(sich) halten (du hältst / hat gehalten),হাল্টেন,রাখা/সুস্থ থাকা,to hold/stay,hat gehalten,Halten Sie sich bitte links.
häufig,হয়ফিশ,প্রায়শই,frequently,,Das passiert häufig.
die Ursache -n,ডি উর্জাখে,কারণ,cause,,Was ist die Ursache?
die Krankheit -en,ডি ক্রাঙ্কাইট,রোগ,illness,,Die Krankheit ist vorbei.
der Bildschirm -e,ডার বিল্টশিরিম,স্ক্রিন,screen,,Der Bildschirm ist zu hell.
der Körper -,ডার কের্পার,শরীর,body,,Sport stärkt den Körper.
außerdem,আউসেরডেম,তাছাড়াও,besides,,Außerdem brauchen wir Wasser.
die Luft (Sg.),ডি লুফ্ট,বাতাস,air,,Die Luft ist frisch.
die Untersuchung -en,ডি উন্টারজুখুং,পরীক্ষা,examination,,Die Untersuchung dauert kurz.
schaffen (hat geschafft),শাফেন,সম্পন্ন করা,to manage/create,hat geschafft,Wir haben es geschafft!
preiswert,প্রাইসভের্ট,সস্তা/মূল্যবান,good value/inexpensive,,Das ist sehr preiswert.
laufen (du läufst / ist gelaufen),লাউফেন,দৌড়ানো/চলা,to run/walk,ist gelaufen,Ich bin schnell gelaufen.
der Trend -s,ডার ট্রেন্ট,ট্রেন্ড,trend,,Das ist der neue Trend.
der Spielplatz -e,ডার শ্পিলপ্লাৎস,খেলার মাঠ,playground,,Die Kinder sind auf dem Spielplatz.
